factor,style,n_corr_days,corr_mean,corr_abs_mean,corr_abs_median,corr_abs_p95,corr_abs_max,share_abs_corr_ge_030,share_abs_corr_ge_050
factor_19_price_momentum_fund_volatility_reverse,Size,1846,-0.0017152567011171633,0.06206909340843954,0.0505643505610694,0.15206936515920522,0.8625339366024152,0.005958829902491874,0.0016251354279523294
factor_19_price_momentum_fund_volatility_reverse,Beta,1962,-0.009736886758711042,0.059662782109453756,0.049785979538529784,0.14666922605265095,0.28477861046087183,0.0,0.0
factor_19_price_momentum_fund_volatility_reverse,Momentum,1845,-0.003048883328044014,0.05996455198618612,0.04799558900200047,0.15492700370445484,0.34011715076759885,0.004336043360433604,0.0
factor_19_price_momentum_fund_volatility_reverse,ResVol,1796,0.0005602144798698907,0.05737030232265267,0.04639165384303677,0.1460247604762961,0.441773576561739,0.0022271714922048997,0.0
factor_19_price_momentum_fund_volatility_reverse,NLS,1846,-0.002995921195237332,0.05953702712637725,0.046987989352871934,0.1467555916734633,0.8625339366024152,0.005417118093174431,0.0016251354279523294
factor_19_price_momentum_fund_volatility_reverse,BTP,1807,0.0034284242588289737,0.06590124117856318,0.05455799163825634,0.15969554865235708,0.7286077671371448,0.005534034311012728,0.0016602102933038186
factor_19_price_momentum_fund_volatility_reverse,Liquidity,1728,-0.00245823652471229,0.07055687527093275,0.05507259609019227,0.18872904476989755,0.7123435671361766,0.009837962962962963,0.0023148148148148147
factor_19_price_momentum_fund_volatility_reverse,EY,1807,0.0009343546918110722,0.06389746042806252,0.051320081611108036,0.15768339756768002,0.7010051095664583,0.006640841173215274,0.0011068068622025456
factor_19_price_momentum_fund_volatility_reverse,Growth,1893,-0.0033468647963644962,0.06839352618529283,0.05656613087321606,0.17536820306375117,0.3773823715246449,0.005282620179609086,0.0
factor_19_price_momentum_fund_volatility_reverse,Leverage,1785,0.0011029954827451343,0.06784910856724903,0.05608377700823894,0.16902671673267816,0.5827669305533849,0.0056022408963585435,0.0005602240896358543
