factor,factor_id,status,direction,n_days,latest_coverage,ls_ar,ls_sr,selected_ar,selected_sr,long_excess_ar,long_excess_sr,short_excess_ar,short_excess_sr,ic_mean,ic_ir,selected_ic_mean,selected_ic_ir
factor_xx_f15_p20_v15_t40,xx,variant,1,2236,0.936,0.31809590767366097,1.9232025904761543,0.31809590767366097,1.9232025904761543,0.06038999787490614,1.440094648767361,0.2577059097987548,2.0328482345970103,0.017268626485614762,1.8108143923869522,0.017268626485614762,1.8108143923869522
factor_xx_f15_p30_v15_t15,xx,variant,1,2236,0.946,0.32162065324638484,1.9221243001620625,0.32162065324638484,1.9221243001620625,0.06143331751705462,1.408423467011311,0.2601873357293302,2.0504998652550164,0.01781942763409124,1.8200263505511443,0.01781942763409124,1.8200263505511443
factor_xx_f15_p20_v30_t30,xx,variant,1,2236,0.938,0.31503008958618806,1.9214549940186227,0.31503008958618806,1.9214549940186227,0.05951743598271272,1.4263525446835872,0.25551265360347536,2.0360619703523,0.017007943550189288,1.8039223122292267,0.017007943550189288,1.8039223122292267
factor_xx_f15_p20_v20_t40,xx,variant,1,2236,0.936,0.3166113389413057,1.9177944864567247,0.3166113389413057,1.9177944864567247,0.060523291661192975,1.4443011740542773,0.25608804728011275,2.0246178119109475,0.017127322926176743,1.802698073633184,0.017127322926176743,1.802698073633184
factor_xx_f15_p30_v20_t10,xx,variant,1,2236,0.946,0.32180670694802405,1.9175849225842707,0.32180670694802405,1.9175849225842707,0.05907190010548572,1.3517203819843278,0.26273480684253836,2.063382650326821,0.017781422344648815,1.8149715349970985,0.017781422344648815,1.8149715349970985
factor_xx_f19_lag15_fw10,xx,variant,1,2236,0.946,0.2880600768944119,1.916318188919235,0.2880600768944119,1.916318188919235,0.07868829187794729,1.5641978146664484,0.20937178501646458,2.0029085540619804,0.018774602322868462,2.0093471486468424,0.018774602322868462,2.0093471486468424
factor_xx_f19_lag15_fw5,xx,variant,1,2236,0.947,0.28522574599083406,1.9125877206207123,0.28522574599083406,1.9125877206207123,0.07205341908160955,1.4481062990866405,0.21317232690922447,2.053847827009419,0.018604840907531454,2.007273438766118,0.018604840907531454,2.007273438766118
factor_xx_f15_p30_v20_t15,xx,variant,1,2236,0.946,0.32061686131427364,1.9124217162179313,0.32061686131427364,1.9124217162179313,0.061674263007506024,1.4130061385312596,0.2589425983067677,2.036043448628993,0.017678611531275232,1.8071465973894705,0.017678611531275232,1.8071465973894705
factor_xx_f15_p20_v40_t30,xx,variant,1,2236,0.938,0.31172916060027667,1.910159597384826,0.31172916060027667,1.910159597384826,0.059706487387802924,1.4346664597919254,0.25202267321247374,2.019114769781158,0.01677996121828262,1.7904794150023144,0.01677996121828262,1.7904794150023144
factor_xx_f19_lag20_fw20,xx,variant,1,2236,0.944,0.2953093942110283,1.9064996554593945,0.2953093942110283,1.9064996554593945,0.08742610756753019,1.7031484403733466,0.20788328664349806,1.9261388598654494,0.01910803426183342,1.9867884513933325,0.01910803426183342,1.9867884513933325
factor_xx_f15_p15_v30_t40,xx,variant,1,2236,0.936,0.30461785757880105,1.90603359468114,0.30461785757880105,1.90603359468114,0.05635282781564075,1.3867016882345142,0.2482650297631604,2.027521034021072,0.016306169527214944,1.7763444102514254,0.016306169527214944,1.7763444102514254
factor_xx_f15_p30_v15_t20,xx,variant,1,2236,0.944,0.3200715050156226,1.9044899796863564,0.3200715050156226,1.9044899796863564,0.061967002667691784,1.4197313958120648,0.2581045023479309,2.0226999386884437,0.017622907529641785,1.7959179333596542,0.017622907529641785,1.7959179333596542
factor_xx_f19_lag15_fw40,xx,variant,1,2236,0.936,0.2885498884639855,1.9012786506599368,0.2885498884639855,1.9012786506599368,0.08745594503857924,1.7688545708459942,0.20109394342540626,1.8836621349152842,0.018525183999943802,1.979501180751525,0.018525183999943802,1.979501180751525
factor_xx_f15_p40_v10_t10,xx,variant,1,2236,0.946,0.3217126032771008,1.8997899253580404,0.3217126032771008,1.8997899253580404,0.06007808066910232,1.344685764774973,0.26163452260799847,2.04677865763518,0.01793896471694934,1.7935364445293087,0.01793896471694934,1.7935364445293087
factor_xx_f19_lag10_fw40,xx,variant,1,2236,0.936,0.27709693945438635,1.898756781509006,0.27709693945438635,1.898756781509006,0.07845686874944038,1.6673701707979642,0.198640070704946,1.922127757323022,0.017580555309153163,1.959482232808417,0.017580555309153163,1.959482232808417
factor_xx_f19_lag20_fw15,xx,variant,1,2236,0.946,0.293593020725098,1.8986599225297691,0.293593020725098,1.8986599225297691,0.08552599742600267,1.6569828666367237,0.2080670232990954,1.9377714974046611,0.01906729041776157,1.9811620476901834,0.01906729041776157,1.9811620476901834
factor_xx_f43_s20_l120,xx,variant,1,2236,0.902,0.25887318099486545,1.8983330660544828,0.25887318099486545,1.8983330660544828,0.0558181549648039,1.223406625020995,0.2030550260300615,2.0149076678225097,0.014864363068216441,1.8783306458568683,0.014864363068216441,1.8783306458568683
factor_xx_f15_p40_v10_t15,xx,variant,1,2236,0.946,0.32191723543543216,1.8956432504659926,0.32191723543543216,1.8956432504659926,0.06264069401016871,1.4009694826249077,0.25927654142526346,2.021680215483117,0.017901763718795045,1.786877400535451,0.017901763718795045,1.786877400535451
factor_xx_f15_p30_v20_t20,xx,variant,1,2236,0.944,0.3181824972365878,1.8944423658088068,0.3181824972365878,1.8944423658088068,0.062187952308099405,1.4256212614188086,0.2559945449284885,2.0076994846830587,0.017451931986069865,1.7832117762115194,0.017451931986069865,1.7832117762115194
factor_xx_f15_p30_v10_t30,xx,variant,1,2236,0.938,0.3211601867062419,1.8938631176370038,0.3211601867062419,1.8938631176370038,0.06203315193799193,1.416452082641099,0.2591270347682499,2.00855101466455,0.017541177096475673,1.7761999904629693,0.017541177096475673,1.7761999904629693
factor_xx_f15_p30_v30_t10,xx,variant,1,2236,0.946,0.31866570734385674,1.8938098716803669,0.31866570734385674,1.8938098716803669,0.05940241657710772,1.3606975127539784,0.2592632907667491,2.028422493905164,0.01744536212751144,1.7841290539210548,0.01744536212751144,1.7841290539210548
factor_xx_f19_lag15_fw60,xx,variant,1,2236,0.924,0.283176783298763,1.893584983370958,0.283176783298763,1.893584983370958,0.08600599290394859,1.7677900059318665,0.19717079039481444,1.8726659002454151,0.018173757888241642,1.9673486611559314,0.018173757888241642,1.9673486611559314
factor_xx_f15_p20_v30_t40,xx,variant,1,2236,0.936,0.30957180466042794,1.891700265654046,0.30957180466042794,1.891700265654046,0.06011913192917461,1.4425076156120895,0.24945267273125332,1.9917091692439646,0.016642483603564476,1.7687732792729853,0.016642483603564476,1.7687732792729853
factor_xx_f15_p15_v40_t40,xx,variant,1,2236,0.936,0.29932512368422737,1.8909448554354813,0.29932512368422737,1.8909448554354813,0.05615015846939511,1.3884012174412976,0.24317496521483228,2.0083082261191665,0.015987470499147175,1.7582226836373567,0.015987470499147175,1.7582226836373567
factor_xx_f15_p30_v30_t15,xx,variant,1,2236,0.946,0.3178782766139061,1.8907473720692,0.3178782766139061,1.8907473720692,0.062093471214124216,1.4241435067411417,0.2557848053997819,2.0031109115481796,0.01736485080571754,1.778492393294133,0.01736485080571754,1.778492393294133
factor_xx_f19_lag20_fw5,xx,variant,1,2236,0.947,0.28950026806028256,1.888803794895196,0.28950026806028256,1.888803794895196,0.0748416012386199,1.463633637072945,0.21465866682166268,2.017093713474474,0.018818167734249394,1.9714915601098186,0.018818167734249394,1.9714915601098186
factor_xx_f19_lag20_fw10,xx,variant,1,2236,0.946,0.29154679136189604,1.8862761855789005,0.29154679136189604,1.8862761855789005,0.08148212327567729,1.5745938598195193,0.21006466808621876,1.9596595556210952,0.018928823447421413,1.9657158205696155,0.018928823447421413,1.9657158205696155
factor_xx_f15_p30_v40_t10,xx,variant,1,2236,0.946,0.31669167915794405,1.8836694618193286,0.31669167915794405,1.8836694618193286,0.059639811202325047,1.3683762137245299,0.257051867955619,2.01260499311789,0.01726509101665483,1.7722636748620668,0.01726509101665483,1.7722636748620668
factor_xx_f15_p30_v40_t15,xx,variant,1,2236,0.946,0.3163282394460362,1.8826366472664404,0.3163282394460362,1.8826366472664404,0.06226931555385291,1.4304142401343223,0.2540589238921833,1.9904277906771315,0.0172102767882384,1.7689456523464402,0.0172102767882384,1.7689456523464402
factor_xx_f19_lag10_fw60,xx,variant,1,2236,0.924,0.26993025729180237,1.8820406122406512,0.26993025729180237,1.8820406122406512,0.07754079086848942,1.6769679394339492,0.19238946642331295,1.893567332429239,0.017067670332823852,1.9306046323457269,0.017067670332823852,1.9306046323457269
factor_xx_f19_lag20_fw30,xx,variant,1,2236,0.938,0.2937622222390404,1.8793038691006119,0.2937622222390404,1.8793038691006119,0.08881942165470741,1.7319777948826798,0.20494280058433306,1.8730910384482202,0.018939563560819724,1.9626983912472509,0.018939563560819724,1.9626983912472509
factor_xx_f15_p20_v40_t40,xx,variant,1,2236,0.936,0.30483710553530136,1.878794712169695,0.30483710553530136,1.878794712169695,0.059972301623455605,1.4456851270902347,0.24486480391184573,1.974645950829206,0.016353108036618883,1.7536989625905237,0.016353108036618883,1.7536989625905237
factor_xx_f15_p40_v10_t20,xx,variant,1,2236,0.944,0.3195583089512649,1.874529837072139,0.3195583089512649,1.874529837072139,0.06309047110264442,1.4101680654356306,0.25646783784862054,1.990169817238382,0.01765612321725204,1.7588852345123511,0.01765612321725204,1.7588852345123511
factor_xx_f15_p30_v30_t20,xx,variant,1,2236,0.944,0.3152237957208094,1.8731944168034567,0.3152237957208094,1.8731944168034567,0.0625212879070095,1.4353669368105084,0.25270250781379994,1.975953771549372,0.0171304837974952,1.754873318679758,0.0171304837974952,1.754873318679758
factor_xx_f15_p40_v15_t10,xx,variant,1,2236,0.946,0.31743595575279493,1.870659801917292,0.31743595575279493,1.870659801917292,0.06038150706703432,1.3500909707728967,0.2570544486857606,2.0063280414328295,0.017620772393528595,1.761633534771456,0.017620772393528595,1.761633534771456
factor_xx_f15_p30_v15_t30,xx,variant,1,2236,0.938,0.31630474352297283,1.869188212229451,0.31630474352297283,1.869188212229451,0.0624134503184296,1.4263824034594719,0.2538912932045432,1.9731047281621639,0.017222510048152548,1.7500077864997414,0.017222510048152548,1.7500077864997414
factor_xx_f15_p30_v40_t20,xx,variant,1,2236,0.944,0.31388397894590564,1.8663665047733227,0.31388397894590564,1.8663665047733227,0.06268373605412157,1.4414030258549504,0.2512002428917841,1.965033996426134,0.016989912027006154,1.7466078777833673,0.016989912027006154,1.7466078777833673
factor_xx_f15_p40_v15_t15,xx,variant,1,2236,0.946,0.316186340445349,1.8662530815826088,0.316186340445349,1.8662530815826088,0.0627677074551674,1.4051403599131367,0.2534186329901816,1.9820514225094978,0.017532077313950355,1.7555766503260728,0.017532077313950355,1.7555766503260728
factor_xx_f15_p30_v10_t40,xx,variant,1,2236,0.936,0.31724027847723574,1.8653346216356945,0.31724027847723574,1.8653346216356945,0.06251452662388107,1.427083938164774,0.2547257518533547,1.9671955196969977,0.0172480449876792,1.744839183378965,0.0172480449876792,1.744839183378965
factor_xx_f15_p30_v20_t30,xx,variant,1,2236,0.938,0.31427270714615557,1.8597506074818295,0.31427270714615557,1.8597506074818295,0.06260827149780623,1.4322390221153334,0.2516644356483493,1.958948172356576,0.01704965374903337,1.7379761838780485,0.01704965374903337,1.7379761838780485
factor_xx_f19_lag20_fw40,xx,variant,1,2236,0.936,0.2902458714389672,1.8587039011563644,0.2902458714389672,1.8587039011563644,0.0898398146443168,1.7683178638169352,0.20040605679465034,1.8281237507035728,0.018607844814837904,1.930813704471848,0.018607844814837904,1.930813704471848
factor_xx_f15_p40_v20_t10,xx,variant,1,2236,0.946,0.31585531684088486,1.8570557691489296,0.31585531684088486,1.8570557691489296,0.0605625124760381,1.353060735612849,0.2552928043648468,1.9871701577931784,0.01744703382866012,1.7447178552329676,0.01744703382866012,1.7447178552329676
factor_xx_f15_p60_v10_t10,xx,variant,1,2236,0.946,0.3178264038767571,1.8529273543914695,0.3178264038767571,1.8529273543914695,0.060850460402513795,1.3334545187216884,0.25697594347424335,1.991973186954731,0.017677600579066248,1.7339839830696198,0.017677600579066248,1.7339839830696198
factor_xx_f15_p40_v20_t15,xx,variant,1,2236,0.946,0.3142951481708748,1.8526653464156204,0.3142951481708748,1.8526653464156204,0.06280108767742477,1.405672015895291,0.25149406049345,1.9638644570831707,0.017343843020707957,1.7384800456877298,0.017343843020707957,1.7384800456877298
factor_xx_f19_lag30_fw5,xx,variant,1,2236,0.947,0.2935936891026048,1.8498850227704013,0.2935936891026048,1.8498850227704013,0.08025564316027235,1.505717332780358,0.21333804594233247,1.9467507824579309,0.018639114957413216,1.8814827340124753,0.018639114957413216,1.8814827340124753
factor_xx_f19_lag30_fw10,xx,variant,1,2236,0.946,0.29614652229011756,1.8488017208587373,0.29614652229011756,1.8488017208587373,0.0880287627494676,1.6306310204505774,0.20811775954065,1.8843309994304078,0.018825142224899373,1.879214829746497,0.018825142224899373,1.879214829746497
factor_xx_f15_p40_v15_t20,xx,variant,1,2236,0.944,0.313598193327061,1.8454623029476644,0.313598193327061,1.8454623029476644,0.063133714141758,1.4133845982628486,0.250464479185303,1.951315345507585,0.017277676910409052,1.7277700632768278,0.017277676910409052,1.7277700632768278
factor_xx_f43_s15_l60,xx,variant,1,2236,0.924,0.22965538400605193,1.8445316317745828,0.22965538400605193,1.8445316317745828,0.043337854739037805,0.9205784742388443,0.1863175292670141,2.103315456204414,0.013855235695096184,1.8849077885815257,0.013855235695096184,1.8849077885815257
factor_xx_f15_p60_v10_t15,xx,variant,1,2236,0.946,0.3166655590452191,1.8435495202519634,0.3166655590452191,1.8435495202519634,0.0630394782053794,1.38094685498163,0.2536260808398397,1.962908083007469,0.01755542468578089,1.720545114508669,0.01755542468578089,1.720545114508669
factor_xx_f15_p30_v15_t40,xx,variant,1,2236,0.936,0.31295401082701163,1.843449034908314,0.31295401082701163,1.843449034908314,0.06292261738269583,1.4374822706101826,0.25003139344431574,1.9351154921971692,0.016961989331948455,1.7213359242706248,0.016961989331948455,1.7213359242706248
factor_xx_f19_lag30_fw15,xx,variant,1,2236,0.946,0.29497505378216893,1.8430417132936092,0.29497505378216893,1.8430417132936092,0.09116435616578462,1.69123122748619,0.2038106976163843,1.8469052413944764,0.018742210821806507,1.872415413462622,0.018742210821806507,1.872415413462622
factor_xx_f15_p30_v30_t30,xx,variant,1,2236,0.938,0.3100114551235125,1.8384957363721743,0.3100114551235125,1.8384957363721743,0.0626295989292528,1.4371026906690096,0.24738185619425976,1.929346387096531,0.016681888346277395,1.7096675069182334,0.016681888346277395,1.7096675069182334
factor_xx_f19_lag20_fw60,xx,variant,1,2236,0.924,0.283394989370953,1.834880662833503,0.283394989370953,1.834880662833503,0.08811281636820496,1.7600160671104146,0.19528217300274797,1.797650258494385,0.018155870402610137,1.9035219758312885,0.018155870402610137,1.9035219758312885
factor_xx_f15_p30_v20_t40,xx,variant,1,2236,0.936,0.3109807400303632,1.8344721670210888,0.3109807400303632,1.8344721670210888,0.06305668604194149,1.4418951629830055,0.2479240539884217,1.9219912509405472,0.016794582016198805,1.7098575232832673,0.016794582016198805,1.7098575232832673
factor_xx_f15_p30_v40_t30,xx,variant,1,2236,0.938,0.30855615364260547,1.8331125206745738,0.30855615364260547,1.8331125206745738,0.06281171511382344,1.443939897644222,0.24574443852878206,1.9201761226676346,0.016545038790547785,1.7030369202205886,0.016545038790547785,1.7030369202205886
factor_xx_f15_p40_v10_t30,xx,variant,1,2236,0.938,0.31436992447485856,1.8329024619742103,0.31436992447485856,1.8329024619742103,0.06322252393977172,1.4105531822328772,0.2511474005350869,1.9343833060815563,0.017173984305200538,1.7063984953321725,0.017173984305200538,1.7063984953321725
factor_xx_f19_lag30_fw20,xx,variant,1,2236,0.944,0.2926052752266073,1.8317977071540348,0.2926052752266073,1.8317977071540348,0.09168671332294101,1.7103942955843965,0.2009185619036663,1.82088530555191,0.018537651447163704,1.8576171969245792,0.018537651447163704,1.8576171969245792
factor_xx_f15_p40_v20_t20,xx,variant,1,2236,0.944,0.3108126248958178,1.83160981378899,0.3108126248958178,1.83160981378899,0.06321112904572782,1.4168020270028654,0.24760149585008995,1.9320878957156218,0.017056236329886055,1.710611979976431,0.017056236329886055,1.710611979976431
factor_xx_f15_p40_v30_t10,xx,variant,1,2236,0.946,0.3121252628299495,1.8299120620499596,0.3121252628299495,1.8299120620499596,0.06079258585876684,1.359985135219146,0.25133267697118267,1.9483644632139603,0.017072235110419276,1.709963013972849,0.017072235110419276,1.709963013972849
factor_xx_f15_p40_v30_t15,xx,variant,1,2236,0.946,0.3108678941484761,1.8271340391754605,0.3108678941484761,1.8271340391754605,0.06306981573433354,1.4135775691490622,0.2477980784141426,1.9268721074755784,0.01698534273923411,1.7053191173830098,0.01698534273923411,1.7053191173830098
factor_xx_f15_p60_v10_t20,xx,variant,1,2236,0.944,0.3138725024271563,1.8230783473999306,0.3138725024271563,1.8230783473999306,0.06338443788208813,1.3882449803883499,0.25048806454506817,1.9327855012448016,0.017283527995889104,1.6919548474298265,0.017283527995889104,1.6919548474298265
factor_xx_f15_p60_v15_t10,xx,variant,1,2236,0.946,0.31261218707696725,1.8205414858124638,0.31261218707696725,1.8205414858124638,0.06095509684673329,1.3348632488611154,0.251657090230234,1.9485366084275757,0.017297431170366598,1.6972509489284382,0.017297431170366598,1.6972509489284382
factor_xx_f43_s20_l90,xx,variant,1,2236,0.914,0.2350514338125833,1.8204793040214773,0.2350514338125833,1.8204793040214773,0.05122904878553103,1.0971491012952015,0.1838223850270523,1.9748103710613587,0.013874862268707953,1.8168215259344358,0.013874862268707953,1.8168215259344358
factor_xx_f15_p40_v40_t10,xx,variant,1,2236,0.946,0.31079806672955357,1.8202742647989447,0.31079806672955357,1.8202742647989447,0.061220789316235855,1.3706353033923608,0.24957727741331762,1.931872018467739,0.016906705153092345,1.697546370757567,0.016906705153092345,1.697546370757567
factor_xx_f15_p40_v40_t15,xx,variant,1,2236,0.946,0.30989867531820847,1.8190067753692563,0.30989867531820847,1.8190067753692563,0.06334515738343251,1.4207895521071543,0.24655351793477592,1.9135271803460698,0.016842115737053742,1.6947911618216658,0.016842115737053742,1.6947911618216658
