factor,style,n_exposure_days,portfolio_exposure_mean,portfolio_exposure_abs_mean,portfolio_exposure_abs_median,portfolio_exposure_abs_p95,portfolio_exposure_abs_max
factor_03_turnover_volatility_momentum,Leverage,1785,-0.008777957483322996,0.17524387043934062,0.1495476410545984,0.4393322800230355,0.7291070650419306
factor_05_volume_price_divergence_cov,Size,1846,-0.003692481425137302,0.11405472864221441,0.09003243614471262,0.30192808146063255,0.7269193039668567
factor_05_volume_price_divergence_cov,Beta,1962,-0.014006683828204889,0.12440501807930876,0.1002668165908027,0.31681090459692474,0.7511861432471004
factor_05_volume_price_divergence_cov,Momentum,1845,-0.0024258146055387243,0.10998560572158597,0.0867244043625461,0.2963882902156294,0.6604224121397352
factor_05_volume_price_divergence_cov,ResVol,1797,-0.005185827603688134,0.09878949079471051,0.07533324587380863,0.2581767209748159,0.6699339068342189
factor_05_volume_price_divergence_cov,NLS,1846,-0.003765748105100267,0.11035975774168466,0.08774854186939235,0.2931525177032326,0.6148610850245588
factor_05_volume_price_divergence_cov,BTP,1807,0.005554645499243244,0.11341349199665214,0.08368801078166763,0.30785485000245794,0.7334749190881782
factor_05_volume_price_divergence_cov,Liquidity,1729,-0.0016105964837398073,0.08433184854527562,0.05610543317447879,0.25945039749294446,0.6638247049441856
factor_05_volume_price_divergence_cov,EY,1807,0.003326023506070034,0.1095672925976758,0.08515052081737705,0.3001359613920903,0.6708118308146955
factor_05_volume_price_divergence_cov,Growth,1962,-0.009626905191648317,0.10126717831482132,0.07309191291890807,0.2774318691903132,0.7333697186700157
factor_05_volume_price_divergence_cov,Leverage,1785,-0.0035436557751947232,0.11336774788425608,0.08569451264550695,0.3069807826130815,0.6043425924467969
factor_44_volume_divergence_composite_momentum,Size,1846,-0.02040183458832355,0.18566686939630547,0.1564019580504621,0.45653818537222013,0.7283449901581304
factor_44_volume_divergence_composite_momentum,Beta,1962,-0.04391368832166433,0.20522077605395364,0.18673272296415366,0.4495384489535912,0.7892427407064484
factor_44_volume_divergence_composite_momentum,Momentum,1845,-0.004338751167309767,0.15472903313721997,0.12474969605973091,0.39784775158264346,0.6984218181775965
factor_44_volume_divergence_composite_momentum,ResVol,1797,-0.0037395019995284068,0.14055321804860701,0.11298025081073611,0.3539214948350517,0.6171734951575691
factor_44_volume_divergence_composite_momentum,NLS,1846,-0.017568342464400883,0.17348696996613858,0.14227658894711306,0.4384720429963604,0.7397153414331827
factor_44_volume_divergence_composite_momentum,BTP,1807,0.016871951108896423,0.1795761688623088,0.14673765009052572,0.43607132947266564,0.6589222453778589
factor_44_volume_divergence_composite_momentum,Liquidity,1729,-0.0022996655868369148,0.11639802889704284,0.07888769358018098,0.3546876237517123,0.664069091569673
factor_44_volume_divergence_composite_momentum,EY,1807,0.003074746159477215,0.16809216609334748,0.1377345354349739,0.4145031843804331,0.8148170576454041
factor_44_volume_divergence_composite_momentum,Growth,1962,-0.025460243395287928,0.17335843217206176,0.1375730644863608,0.4320840396551404,0.7284752473762335
factor_44_volume_divergence_composite_momentum,Leverage,1785,-0.00141798023423897,0.19389588627245155,0.1698705331383249,0.45887238786823714,0.7550543009953695
factor_15_multi_dimensional_reversal,Size,1846,-0.02333292868825504,0.20813396020220165,0.175500685701884,0.5105724435316061,0.8550343550047084
factor_15_multi_dimensional_reversal,Beta,1962,-0.0507229619843348,0.23190654785849024,0.21343194352811892,0.4952715217202225,0.8720828656225155
factor_15_multi_dimensional_reversal,Momentum,1845,-0.00417389639763573,0.1721287943151888,0.13949607805440647,0.44423655304827553,0.815769422034669
factor_15_multi_dimensional_reversal,ResVol,1797,-0.004260153355698781,0.15570117404950073,0.1254940803828774,0.39661862113208124,0.6631626135540546
factor_15_multi_dimensional_reversal,NLS,1846,-0.019942856051285256,0.19318943925443838,0.16179003747113085,0.4859619047722856,0.8717592321566405
factor_15_multi_dimensional_reversal,BTP,1807,0.018724668237738874,0.20236344829364272,0.17018536901941272,0.48486711378907044,0.7008045751909371
factor_15_multi_dimensional_reversal,Liquidity,1729,-0.0038481280927482584,0.12850678391030498,0.08781872243484996,0.3900965462217335,0.8417866404670016
factor_15_multi_dimensional_reversal,EY,1807,0.003909469352741628,0.18895546509006453,0.15359428186862345,0.47264067212356037,0.9346408688940183
factor_15_multi_dimensional_reversal,Growth,1962,-0.02775130722192289,0.19593317186614448,0.15640297452668195,0.47789524549146656,0.8012826469312426
factor_15_multi_dimensional_reversal,Leverage,1785,0.00020242654951540206,0.22049010865648094,0.1961393032351536,0.5100158578425298,0.7582401311841958
factor_19_price_momentum_fund_volatility_reverse,Size,1846,-0.008019568877557106,0.1229591686469879,0.09906396211748529,0.3260134680172308,0.7938858170675296
factor_19_price_momentum_fund_volatility_reverse,Beta,1962,-0.019396933527605225,0.14032417199264136,0.11905505411376997,0.34014284972347963,0.9488009864513011
factor_19_price_momentum_fund_volatility_reverse,Momentum,1845,-0.0013688727554571126,0.11503156106023302,0.0912259573757421,0.3024480572149368,0.7165766127492077
factor_19_price_momentum_fund_volatility_reverse,ResVol,1797,-0.0018883631262549432,0.1073171436544591,0.08254574137341635,0.288406618157878,0.6823531539752348
factor_19_price_momentum_fund_volatility_reverse,NLS,1846,-0.007619315836863265,0.11865430926771149,0.096392014514514,0.3047000884630661,0.7997316396637466
factor_19_price_momentum_fund_volatility_reverse,BTP,1807,0.0049676790370908825,0.12268516595101095,0.10132692768674068,0.32439866327289607,0.6985922791530392
factor_19_price_momentum_fund_volatility_reverse,Liquidity,1729,-0.0007208277838780529,0.0878144631430089,0.06026062190052392,0.25540255088266217,0.6682131101512735
factor_19_price_momentum_fund_volatility_reverse,EY,1807,0.0028177291270131666,0.12049846684826201,0.0964937128150322,0.311249500187782,0.6706806044710458
factor_19_price_momentum_fund_volatility_reverse,Growth,1962,-0.011196082227998477,0.11289118783290394,0.08721390332592605,0.30077028937955597,0.7301111493429521
factor_19_price_momentum_fund_volatility_reverse,Leverage,1785,0.0031435632534030614,0.12844411319807977,0.10491476109203389,0.3197693077677609,0.7791384567709795
